time,frequency,confidence
0.000,547.124,0.141269
0.010,547.124,0.141269
0.020,547.124,0.141269
0.030,547.124,0.141269
0.040,547.124,0.141269
0.050,547.124,0.141269
0.060,552.428,0.103748
0.070,349.245,0.128102
0.080,32.183,0.160415
0.090,54.681,0.082317
0.100,53.018,0.137761
0.110,52.989,0.183233
0.120,51.568,0.257701
0.130,51.093,0.379123
0.140,248.440,0.267666
0.150,244.834,0.287577
0.160,49.146,0.698005
0.170,49.944,0.717914
0.180,50.673,0.657581
0.190,50.386,0.629936
0.200,50.563,0.249964
0.210,175.968,0.075980
0.220,120.879,0.186191
0.230,48.427,0.099964
0.240,299.552,0.050063
0.250,304.278,0.121899
0.260,149.251,0.134020
0.270,300.185,0.218185
0.280,305.229,0.163279
0.290,336.732,0.059647
0.300,335.394,0.350814
0.310,48.588,0.083805
0.320,49.330,0.141628
0.330,49.133,0.044744
0.340,302.859,0.037778
0.350,306.163,0.260513
0.360,304.789,0.221702
0.370,50.251,0.112243
0.380,49.725,0.389913
0.390,153.093,0.061553
0.400,50.603,0.257482
0.410,152.752,0.039226
0.420,252.803,0.008978
0.430,33.235,0.578510
0.440,32.910,0.328521
0.450,32.673,0.072936
0.460,32.914,0.009879
0.470,289.669,0.044599
0.480,295.657,0.184841
0.490,294.430,0.143678
0.500,41.918,0.126053
0.510,120.921,0.164840
0.520,162.079,0.079670
0.530,32.247,0.035543
0.540,46.758,0.087193
0.550,144.367,0.028252
0.560,48.722,0.034743
0.570,152.399,0.012341
0.580,119.949,0.118178
0.590,119.642,0.134806
0.600,122.310,0.302860
0.610,242.090,0.130684
0.620,124.115,0.363205
0.630,127.458,0.066160
0.640,49.547,0.137354
0.650,54.941,0.029940
0.660,49.367,0.037988
0.670,52.114,0.045520
0.680,51.404,0.285044
0.690,51.391,0.210865
0.700,35.602,0.141156
0.710,177.637,0.038439
0.720,50.824,0.037828
0.730,32.091,0.020006
0.740,49.038,0.176693
0.750,48.671,0.043718
0.760,48.699,0.366206
0.770,51.721,0.063652
0.780,51.584,0.112142
0.790,52.240,0.045684
0.800,149.701,0.167650
0.810,49.213,0.275068
0.820,49.136,0.752416
0.830,49.247,0.203077
0.840,48.798,0.186645
0.850,151.010,0.303877
0.860,148.756,0.070443
0.870,51.376,0.035687
0.880,50.782,0.198583
0.890,245.629,0.091957
0.900,236.698,0.140420
0.910,152.285,0.290388
0.920,151.100,0.433465
0.930,51.164,0.296847
0.940,51.031,0.274285
0.950,178.675,0.176598
0.960,148.966,0.227150
0.970,154.482,0.340255
0.980,148.075,0.159217
0.990,152.193,0.138495
1.000,49.394,0.231090
1.010,32.002,0.082770
1.020,50.574,0.145726
1.030,50.235,0.440877
1.040,49.481,0.788447
1.050,49.219,0.601285
1.060,49.138,0.680509
1.070,49.538,0.243953
1.080,49.679,0.563623
1.090,49.489,0.446716
1.100,49.391,0.476911
1.110,51.354,0.236579
1.120,51.785,0.097078
1.130,51.043,0.067325
1.140,129.002,0.146948
1.150,256.616,0.234076
1.160,257.632,0.358910
1.170,257.205,0.318536
1.180,252.638,0.251662
1.190,98.578,0.062567
1.200,97.867,0.050291
1.210,178.659,0.100301
1.220,130.153,0.150625
1.230,130.099,0.379482
1.240,134.255,0.222734
1.250,129.993,0.105769
1.260,297.069,0.054486
1.270,239.575,0.147550
1.280,315.261,0.021412
1.290,355.409,0.071954
1.300,352.388,0.197005
1.310,140.767,0.098356
1.320,174.776,0.162371
1.330,173.431,0.088910
1.340,141.360,0.078796
1.350,157.107,0.232926
1.360,158.699,0.412653
1.370,157.126,0.465387
1.380,156.525,0.393725
1.390,154.435,0.379597
1.400,154.340,0.116751
1.410,149.992,0.253499
1.420,150.464,0.221831
1.430,295.375,0.224694
1.440,291.343,0.651965
1.450,292.665,0.774774
1.460,294.516,0.820088
1.470,296.079,0.837689
1.480,296.118,0.823878
1.490,296.174,0.812672
1.500,295.830,0.763993
1.510,295.899,0.735527
1.520,296.087,0.728996
1.530,296.129,0.736990
1.540,296.028,0.709910
1.550,296.116,0.743755
1.560,296.066,0.815536
1.570,296.102,0.836856
1.580,296.082,0.833685
1.590,295.885,0.827975
1.600,295.644,0.843492
1.610,295.683,0.890022
1.620,295.746,0.906257
1.630,296.362,0.877159
1.640,296.867,0.892363
1.650,296.962,0.884533
1.660,296.851,0.879543
1.670,296.786,0.874125
1.680,296.555,0.891775
1.690,296.733,0.899593
1.700,296.705,0.907709
1.710,296.795,0.905217
1.720,296.686,0.909449
1.730,296.443,0.899767
1.740,296.255,0.915226
1.750,296.282,0.919795
1.760,296.267,0.911783
1.770,296.017,0.912762
1.780,296.003,0.909827
1.790,296.149,0.907923
1.800,296.326,0.906020
1.810,296.176,0.901585
1.820,296.179,0.902438
1.830,296.407,0.883686
1.840,296.767,0.904195
1.850,296.725,0.888523
1.860,296.539,0.892543
1.870,296.835,0.895508
1.880,296.775,0.902757
1.890,296.909,0.900177
1.900,296.737,0.906228
1.910,296.743,0.908040
1.920,296.638,0.895006
1.930,296.279,0.893115
1.940,296.426,0.884024
1.950,296.346,0.908071
1.960,296.497,0.907077
1.970,296.202,0.931845
1.980,296.103,0.934352
1.990,296.228,0.929279
2.000,296.332,0.922117
2.010,296.246,0.940508
2.020,296.147,0.939688
2.030,296.633,0.933706
2.040,296.639,0.932127
2.050,296.552,0.927085
2.060,296.161,0.937768
2.070,296.782,0.907232
2.080,297.310,0.918668
2.090,297.661,0.913546
2.100,297.663,0.879148
2.110,297.213,0.846911
2.120,296.652,0.773452
2.130,296.061,0.786228
2.140,295.511,0.779398
2.150,295.801,0.755195
2.160,296.497,0.676789
2.170,296.119,0.679946
2.180,296.109,0.609124
2.190,296.673,0.588278
2.200,296.309,0.577405
2.210,295.941,0.600411
2.220,295.477,0.654997
2.230,295.399,0.668783
2.240,295.996,0.583300
2.250,296.408,0.522287
2.260,296.219,0.555260
2.270,296.365,0.549274
2.280,296.431,0.490319
2.290,298.005,0.343647
2.300,298.321,0.200715
2.310,296.986,0.200607
2.320,296.483,0.177583
2.330,296.195,0.164800
2.340,296.306,0.158129
2.350,297.637,0.144235
2.360,297.598,0.147226
2.370,295.966,0.183471
2.380,295.364,0.233140
2.390,295.722,0.259907
2.400,295.682,0.310651
2.410,295.796,0.256203
2.420,296.240,0.175181
2.430,296.122,0.226084
2.440,296.673,0.185582
2.450,482.720,0.193786
2.460,483.501,0.236395
2.470,484.481,0.206199
2.480,484.502,0.339259
2.490,484.293,0.199730
2.500,483.549,0.120067
2.510,297.719,0.136329
2.520,296.532,0.150765
2.530,295.814,0.207487
2.540,294.855,0.255753
2.550,295.319,0.267261
2.560,784.554,0.200062
2.570,784.420,0.196994
2.580,785.351,0.205174
2.590,296.080,0.102835
